triphone	desired number	missing number
C0n-C0ian+sp      	1187	916 
C0i-C0j+C0iou     	1025	801 
C0er-C0l+C0ing    	764 	705 
C0iou-C0n+C0ian   	491 	427 
C0l-C0ing+C0i     	490 	420 
C0i-C0n+C0ian     	540 	388 
sil-C0i+C0j       	482 	386 
C0l-C0ing+C0l     	456 	384 
C0ing-C0l+C0ing   	411 	340 
sil-C0er+C0l      	345 	336 

step: 53
C0n-C0ian+sp      	1187	913 
C0i-C0j+C0iou     	1025	796 
C0er-C0l+C0ing    	764 	704 
C0iou-C0n+C0ian   	491 	425 
C0l-C0ing+C0i     	490 	420 
C0i-C0n+C0ian     	540 	388 
sil-C0i+C0j       	482 	385 
C0l-C0ing+C0l     	456 	383 
C0ing-C0l+C0ing   	411 	339 
sil-C0er+C0l      	345 	336 

step: 54
C0n-C0ian+sp      	1187	913 
C0i-C0j+C0iou     	1025	796 
C0er-C0l+C0ing    	764 	704 
C0iou-C0n+C0ian   	491 	425 
C0l-C0ing+C0i     	490 	420 
C0i-C0n+C0ian     	540 	388 
sil-C0i+C0j       	482 	385 
C0l-C0ing+C0l     	456 	383 
C0ing-C0l+C0ing   	411 	339 
sil-C0er+C0l      	345 	336 

step: 55
C0n-C0ian+sp      	1187	913 
C0i-C0j+C0iou     	1025	796 
C0er-C0l+C0ing    	764 	703 
C0iou-C0n+C0ian   	491 	425 
C0l-C0ing+C0i     	490 	420 
C0i-C0n+C0ian     	540 	388 
sil-C0i+C0j       	482 	385 
C0l-C0ing+C0l     	456 	382 
C0ing-C0l+C0ing   	411 	338 
sil-C0er+C0l      	345 	336 

step: 56
C0n-C0ian+sp      	1187	912 
C0i-C0j+C0iou     	1025	796 
C0er-C0l+C0ing    	764 	702 
C0iou-C0n+C0ian   	491 	425 
C0l-C0ing+C0i     	490 	420 
C0i-C0n+C0ian     	540 	388 
sil-C0i+C0j       	482 	385 
C0l-C0ing+C0l     	456 	381 
C0ing-C0l+C0ing   	411 	337 
sil-C0er+C0l      	345 	336 

step: 57
C0n-C0ian+sp      	1187	911 
C0i-C0j+C0iou     	1025	796 
C0er-C0l+C0ing    	764 	701 
C0iou-C0n+C0ian   	491 	425 
C0l-C0ing+C0i     	490 	419 
C0i-C0n+C0ian     	540 	387 
sil-C0i+C0j       	482 	385 
C0l-C0ing+C0l     	456 	381 
C0ing-C0l+C0ing   	411 	337 
sil-C0er+C0l      	345 	336 

step: 58
C0n-C0ian+sp      	1187	911 
C0i-C0j+C0iou     	1025	796 
C0er-C0l+C0ing    	764 	701 
C0iou-C0n+C0ian   	491 	425 
C0l-C0ing+C0i     	490 	419 
C0i-C0n+C0ian     	540 	387 
sil-C0i+C0j       	482 	385 
C0l-C0ing+C0l     	456 	381 
C0ing-C0l+C0ing   	411 	337 
sil-C0er+C0l      	345 	336 

step: 59
C0n-C0ian+sp      	1187	911 
C0i-C0j+C0iou     	1025	796 
C0er-C0l+C0ing    	764 	701 
C0iou-C0n+C0ian   	491 	425 
C0l-C0ing+C0i     	490 	419 
C0i-C0n+C0ian     	540 	387 
sil-C0i+C0j       	482 	385 
C0l-C0ing+C0l     	456 	381 
C0ing-C0l+C0ing   	411 	337 
sil-C0er+C0l      	345 	336 

step: 60
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	788 
C0er-C0l+C0ing    	764 	701 
C0iou-C0n+C0ian   	491 	423 
C0l-C0ing+C0i     	490 	419 
C0i-C0n+C0ian     	540 	385 
sil-C0i+C0j       	482 	384 
C0l-C0ing+C0l     	456 	381 
C0ing-C0l+C0ing   	411 	337 
sil-C0er+C0l      	345 	336 

step: 61
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	788 
C0er-C0l+C0ing    	764 	700 
C0iou-C0n+C0ian   	491 	423 
C0l-C0ing+C0i     	490 	419 
C0i-C0n+C0ian     	540 	384 
sil-C0i+C0j       	482 	384 
C0l-C0ing+C0l     	456 	380 
C0ing-C0l+C0ing   	411 	336 
sil-C0er+C0l      	345 	336 

step: 62
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	788 
C0er-C0l+C0ing    	764 	699 
C0iou-C0n+C0ian   	491 	423 
C0l-C0ing+C0i     	490 	419 
C0i-C0n+C0ian     	540 	384 
sil-C0i+C0j       	482 	384 
C0l-C0ing+C0l     	456 	379 
sil-C0er+C0l      	345 	336 
C0ing-C0l+C0ing   	411 	335 

step: 63
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	788 
C0er-C0l+C0ing    	764 	699 
C0iou-C0n+C0ian   	491 	423 
C0l-C0ing+C0i     	490 	419 
C0i-C0n+C0ian     	540 	384 
sil-C0i+C0j       	482 	384 
C0l-C0ing+C0l     	456 	379 
sil-C0er+C0l      	345 	336 
C0ing-C0l+C0ing   	411 	335 

step: 64
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	787 
C0er-C0l+C0ing    	764 	697 
C0iou-C0n+C0ian   	491 	423 
C0l-C0ing+C0i     	490 	418 
sil-C0i+C0j       	482 	384 
C0i-C0n+C0ian     	540 	383 
C0l-C0ing+C0l     	456 	378 
sil-C0er+C0l      	345 	336 
C0ing-C0l+C0ing   	411 	334 

step: 65
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	787 
C0er-C0l+C0ing    	764 	696 
C0iou-C0n+C0ian   	491 	422 
C0l-C0ing+C0i     	490 	417 
sil-C0i+C0j       	482 	384 
C0i-C0n+C0ian     	540 	383 
C0l-C0ing+C0l     	456 	378 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	334 

step: 66
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	786 
C0er-C0l+C0ing    	764 	695 
C0iou-C0n+C0ian   	491 	421 
C0l-C0ing+C0i     	490 	417 
sil-C0i+C0j       	482 	384 
C0i-C0n+C0ian     	540 	383 
C0l-C0ing+C0l     	456 	377 
sil-C0er+C0l      	345 	335 
C0ing-C0l+C0ing   	411 	333 

step: 67
C0n-C0ian+sp      	1187	907 
C0i-C0j+C0iou     	1025	786 
C0er-C0l+C0ing    	764 	694 
